No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1
1,0,0,0,0
2,0.001,1.3947044e-07,7.2863309e-06,0.013222988
3,0.002,1.1164658e-06,2.9101944e-05,0.026736965
4,0.003,3.7656768e-06,6.5403236e-05,0.040482583
5,0.004,8.9171457e-06,0.00011628745,0.053914969
6,0.005,1.7471918e-05,0.00018240232,0.065422675
7,0.006,3.0413149e-05,0.00026395515,0.076176111
8,0.007,4.8441872e-05,0.00035905732,0.08879348
9,0.008,7.2334315e-05,0.0004681724,0.10234122
10,0.009,0.00010289325,0.00059153026,0.11635231
11,0.01,0.00014093462,0.00072924366,0.13059304
12,0.011,0.0001872808,0.00088136658,0.14494629
13,0.012,0.00024275725,0.0010479234,0.15935331
14,0.013,0.00030819082,0.0012289235,0.17378448
15,0.014,0.00038440888,0.0014243683,0.18822475
16,0.015,0.00047223886,0.0016342556,0.20266639
17,0.016,0.00057250806,0.0018585803,0.2171053
18,0.017,0.00068604348,0.0020973365,0.2315392
19,0.018,0.00081367175,0.002350517,0.24596673
20,0.019,0.0009562191,0.002618114,0.26038696
21,0.02,0.0011145113,0.0029001194,0.27479923
22,0.021,0.0012893736,0.0031965243,0.28920297
23,0.022,0.0014816307,0.0035073193,0.30359766
24,0.023,0.001692107,0.0038324946,0.31798282
25,0.024,0.0019216259,0.0041720402,0.33235798
26,0.025,0.0021710106,0.0045259453,0.34672269
27,0.026,0.0024410834,0.0048941986,0.36107649
28,0.027,0.0027326662,0.0052767888,0.37541892
29,0.028,0.00304658,0.0056737036,0.38974953
30,0.029,0.0033836451,0.0060849306,0.40406787
31,0.03,0.0037446813,0.0065104569,0.41837349
32,0.031,0.0041305074,0.0069502691,0.43266593
33,0.032,0.0045419416,0.0074043533,0.44694475
34,0.033,0.0049798011,0.0078726951,0.4612095
35,0.034,0.0054449025,0.00835528,0.47545972
36,0.035,0.0059380613,0.0088520925,0.48969496
37,0.036,0.0064600923,0.0093631172,0.50391478
38,0.037,0.0070118093,0.0098883379,0.51811873
39,0.038,0.0075940253,0.010427738,0.53230636
40,0.039,0.008207552,0.010981301,0.54647721
41,0.04,0.0088532006,0.011549008,0.56063085
42,0.041,0.0095317808,0.012130843,0.57476683
43,0.042,0.010244102,0.012726787,0.5888847
44,0.043,0.010990971,0.013336821,0.602984
45,0.044,0.011773196,0.013960925,0.61706431
46,0.045,0.012591581,0.014599081,0.63112517
47,0.046,0.013446931,0.015251267,0.64516614
48,0.047,0.014340051,0.015917464,0.65918677
49,0.048,0.015271741,0.016597651,0.67318662
50,0.049,0.016242802,0.017291805,0.68716524
51,0.05,0.017254035,0.017999906,0.70112221
52,0.051,0.018306238,0.018721931,0.71505706
53,0.052,0.019400208,0.019457856,0.72896937
54,0.053,0.02053674,0.020207659,0.74285868
55,0.054,0.021716629,0.020971317,0.75672457
56,0.055,0.022940669,0.021748805,0.77056658
57,0.056,0.02420965,0.022540098,0.78438429
58,0.057,0.025524364,0.023345171,0.79817725
59,0.058,0.026885599,0.024164,0.81194503
60,0.059,0.028294142,0.024996559,0.82568718
61,0.06,0.029750779,0.02584282,0.83940328
62,0.061,0.031256295,0.026702758,0.85309288
63,0.062,0.032811473,0.027576344,0.86675556
64,0.063,0.034417093,0.028463553,0.88039087
